grammatical_score,lexical_pattern,pair_id,preference_margin,sentence_bad,sentence_good,subtype,template_type,ungrammatical_score
-10.851242065429688,pp_singular_attractor_with|students+cabinet|write|with,rl_dist_0156,-0.015062967936197325,The students with the cabinet writes.,The students with the cabinet write.,pp_singular_attractor_with,pp_attractor,-10.83617909749349
-10.850303649902344,pp_singular_attractor_beside|teachers+cabinet|write|beside,rl_dist_0139,-0.0150616963704433,The teachers beside the cabinet writes.,The teachers beside the cabinet write.,pp_singular_attractor_beside,pp_attractor,-10.8352419535319
-10.812689463297525,pp_plural_attractor_near|robot+paintings|writes|near,rl_dist_0109,-0.014718373616535274,The robot near the paintings write.,The robot near the paintings writes.,pp_plural_attractor_near,pp_attractor,-10.79797108968099
-10.822199503580729,simple_plural|guards|answer|,rl_dist_0189,-0.014527638753254024,The guards answers.,The guards answer.,simple_plural,simple_agreement,-10.807671864827475
-10.82684326171875,simple_plural|reporters|answer|,rl_dist_0178,-0.014132181803384825,The reporters answers.,The reporters answer.,simple_plural,simple_agreement,-10.812711079915365
-10.831634521484375,simple_plural|managers|answer|,rl_dist_0194,-0.0140533447265625,The managers answers.,The managers answer.,simple_plural,simple_agreement,-10.817581176757812
-10.834111531575521,simple_plural|drivers|answer|,rl_dist_0183,-0.014034271240234375,The drivers answers.,The drivers answer.,simple_plural,simple_agreement,-10.820077260335287
-10.838935852050781,simple_plural|birds|answer|,rl_dist_0199,-0.01401646931966205,The birds answers.,The birds answer.,simple_plural,simple_agreement,-10.82491938273112
-10.83865229288737,simple_plural|authors|answer|,rl_dist_0197,-0.01401519775390625,The authors answers.,The authors answer.,simple_plural,simple_agreement,-10.824637095133463
-10.841874440511068,simple_plural|boys|answer|,rl_dist_0181,-0.0140088399251308,The boys answers.,The boys answer.,simple_plural,simple_agreement,-10.827865600585938
-10.850898742675781,pp_singular_attractor_beside|pilots+map|write|beside,rl_dist_0138,-0.01384735107421875,The pilots beside the map writes.,The pilots beside the map write.,pp_singular_attractor_beside,pp_attractor,-10.837051391601562
-10.821825663248697,simple_plural|writers|smile|,rl_dist_0187,-0.013399759928384825,The writers smiles.,The writers smile.,simple_plural,simple_agreement,-10.808425903320312
-10.83615493774414,simple_plural|musicians|smile|,rl_dist_0192,-0.013089497884115175,The musicians smiles.,The musicians smile.,simple_plural,simple_agreement,-10.823065439860025
-10.820078531901041,simple_plural|students|read|,rl_dist_0188,-0.012986501057941524,The students reads.,The students read.,simple_plural,simple_agreement,-10.8070920308431
-10.807599385579428,simple_singular|writer|closes|,rl_dist_0230,-0.012852986653646425,The writer close.,The writer closes.,simple_singular,simple_agreement,-10.794746398925781
-10.820121765136719,simple_plural|scientists|read|,rl_dist_0185,-0.0126635233561192,The scientists reads.,The scientists read.,simple_plural,simple_agreement,-10.8074582417806
-10.81830088297526,simple_plural|students|wait|,rl_dist_0176,-0.012401580810546875,The students waits.,The students wait.,simple_plural,simple_agreement,-10.805899302164713
-10.821739196777344,simple_plural|guards|read|,rl_dist_0182,-0.011844635009765625,The guards reads.,The guards read.,simple_plural,simple_agreement,-10.809894561767578
-10.836287180582682,simple_plural|musicians|wait|,rl_dist_0195,-0.01169459025065045,The musicians waits.,The musicians wait.,simple_plural,simple_agreement,-10.824592590332031
-10.83032480875651,simple_plural|chefs|read|,rl_dist_0175,-0.011533101399738399,The chefs reads.,The chefs read.,simple_plural,simple_agreement,-10.818791707356771
-10.836181640625,simple_plural|authors|run|,rl_dist_0177,-0.01114654541015625,The authors runs.,The authors run.,simple_plural,simple_agreement,-10.825035095214844
-10.835299173990885,simple_plural|musicians|run|,rl_dist_0193,-0.011144002278644649,The musicians runs.,The musicians run.,simple_plural,simple_agreement,-10.82415517171224
-10.823036193847656,simple_singular|guard|laughs|,rl_dist_0219,-0.0103899637858067,The guard laugh.,The guard laughs.,simple_singular,simple_agreement,-10.81264623006185
-10.827139536539713,simple_singular|pilot|laughs|,rl_dist_0225,-0.010241190592447325,The pilot laugh.,The pilot laughs.,simple_singular,simple_agreement,-10.816898345947266
-10.836558024088541,simple_singular|dog|laughs|,rl_dist_0236,-0.010152180989582149,The dog laugh.,The dog laughs.,simple_singular,simple_agreement,-10.826405843098959
-10.83752695719401,simple_singular|reporter|laughs|,rl_dist_0238,-0.010148366292316524,The reporter laugh.,The reporter laughs.,simple_singular,simple_agreement,-10.827378590901693
-10.825824737548828,simple_singular|manager|listens|,rl_dist_0222,-0.009722391764322325,The manager listen.,The manager listens.,simple_singular,simple_agreement,-10.816102345784506
