accuracy,correct,failure_rate,group,group_by,mean_preference_margin,model_id,model_label,model_name,model_provider,near_failure_rate,total
0.5,8,0.5,object_relative_clause_plural_embedded_that,subtype,0.015764323491898824,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0,16
0.75,12,0.25,object_relative_clause_plural_embedded_that,subtype,0.13902731168837795,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0625,16
0.625,10,0.375,object_relative_clause_plural_embedded_that,subtype,0.0018751432025242432,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,1.0,16
0.4375,7,0.5625,object_relative_clause_plural_embedded_who,subtype,-0.09322587649027497,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0,16
0.625,10,0.375,object_relative_clause_plural_embedded_who,subtype,0.030815555935814143,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0625,16
0.625,10,0.375,object_relative_clause_plural_embedded_who,subtype,0.001053537641252933,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,1.0,16
0.75,12,0.25,object_relative_clause_that,subtype,0.15940558058874943,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.125,16
0.8125,13,0.1875,object_relative_clause_that,subtype,0.187790551355907,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,16
0.375,6,0.625,object_relative_clause_that,subtype,-0.000982182366507156,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,0.9375,16
0.875,14,0.125,object_relative_clause_who,subtype,0.3096591574805123,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0625,16
0.75,12,0.25,object_relative_clause_who,subtype,0.19515172498566785,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,16
0.375,6,0.625,object_relative_clause_who,subtype,-0.0011383380208693783,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,1.0,16
0.875,14,0.125,plural_object_relative_clause_that,subtype,0.2938913915838513,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0625,16
0.9375,15,0.0625,plural_object_relative_clause_that,subtype,0.3927081482751027,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0625,16
0.25,4,0.75,plural_object_relative_clause_that,subtype,-0.0025946583066669415,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,1.0,16
0.3,3,0.7,pp_plural_attractor_behind,subtype,-0.03069686889648473,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0,10
0.5,5,0.5,pp_plural_attractor_behind,subtype,-0.04727471669514971,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,10
0.2,2,0.8,pp_plural_attractor_behind,subtype,-0.0002778371175129024,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,0.9,10
0.9,9,0.1,pp_plural_attractor_beside,subtype,0.20707740783691397,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.1,10
0.7,7,0.3,pp_plural_attractor_beside,subtype,0.17084077199300118,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,10
0.6,6,0.4,pp_plural_attractor_beside,subtype,0.001253890991211115,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,1.0,10
0.3,3,0.7,pp_plural_attractor_near,subtype,-0.06413796742757168,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0,10
0.6,6,0.4,pp_plural_attractor_near,subtype,0.004547246297200403,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,10
0.7,7,0.3,pp_plural_attractor_near,subtype,0.0025103251139322325,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,0.9,10
0.7,7,0.3,pp_plural_attractor_with,subtype,0.10783729553222665,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0,10
0.8,8,0.2,pp_plural_attractor_with,subtype,0.3043687820434572,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,10
0.5,5,0.5,pp_plural_attractor_with,subtype,0.0001239776611328125,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,1.0,10
0.9,9,0.1,pp_singular_attractor_behind,subtype,0.5237154006958007,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.1,10
1.0,10,0.0,pp_singular_attractor_behind,subtype,0.46454919179280596,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.1,10
0.3,3,0.7,pp_singular_attractor_behind,subtype,-0.001076253255208215,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,1.0,10
1.0,10,0.0,pp_singular_attractor_beside,subtype,0.4355227788289387,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0,10
1.0,10,0.0,pp_singular_attractor_beside,subtype,0.48155905405680344,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,10
0.4,4,0.6,pp_singular_attractor_beside,subtype,-0.0010105133056640624,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,1.0,10
0.9,9,0.1,pp_singular_attractor_near,subtype,0.2570702870686848,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0,10
1.0,10,0.0,pp_singular_attractor_near,subtype,0.28911018371582015,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,10
