correct,dataset,grammatical,grammatical_score,model_id,preference_margin,subtype,template_type,uid,ungrammatical,ungrammatical_score
False,rl,The boy who the neighbors call opens.,-7.559280940464565,hf_gpt2,-0.8260536193847656,object_relative_clause_plural_embedded_who,relative_clause,rl_dist_0020,The boy who the neighbors call open.,-6.7332273210797995
False,rl,The boy who the farmers help moves.,-7.765639168875558,hf_gpt2,-0.65575681413923,object_relative_clause_plural_embedded_who,relative_clause,rl_dist_0022,The boy who the farmers help move.,-7.109882354736328
False,rl,The chef that the mechanic calls studies.,-8.244489397321429,hf_gpt2,-0.4847957066127231,object_relative_clause_that,relative_clause,rl_dist_0033,The chef that the mechanic calls study.,-7.759693690708706
False,rl,The actor with the computers opens.,-7.402137756347656,hf_gpt2,-0.4683876037597656,pp_plural_attractor_with,pp_attractor,rl_dist_0112,The actor with the computers open.,-6.933750152587891
False,rl,The driver with the letters opens.,-7.105771382649739,hf_gpt2,-0.4555854797363281,pp_plural_attractor_with,pp_attractor,rl_dist_0111,The driver with the letters open.,-6.650185902913411
False,rl,The judge that the mechanic likes closes.,-8.392995016915458,hf_gpt2,-0.4355468750000009,object_relative_clause_that,relative_clause,rl_dist_0046,The judge that the mechanic likes close.,-7.9574481419154575
False,rl,The driver who the doctors question opens.,-8.309165409633092,hf_gpt2,-0.4236264910016745,object_relative_clause_plural_embedded_who,relative_clause,rl_dist_0028,The driver who the doctors question open.,-7.8855389186314175
False,rl,The manager behind the computers closes.,-7.349108378092448,hf_gpt2,-0.32698949178059955,pp_plural_attractor_behind,pp_attractor,rl_dist_0087,The manager behind the computers close.,-7.022118886311849
False,rl,The nurse closes.,-9.335127512613932,hf_gpt2,-0.29259490966796875,simple_singular,simple_agreement,rl_dist_0227,The nurse close.,-9.042532602945963
False,rl,The manager that the librarians like runs.,-6.149879031711155,hf_gpt2,-0.2718836466471357,object_relative_clause_plural_embedded_that,relative_clause,rl_dist_0010,The manager that the librarians like run.,-5.877995385064019
False,benchmark,The author that the librarian helps moves.,-6.8292083740234375,hf_gpt2,-0.7015495300292969,object_relative_clause_that,relative_clause,relative_clause-0227,The author that the librarian helps move.,-6.127658843994141
False,benchmark,The driver who the artists see closes.,-8.324624742780413,hf_gpt2,-0.5912818908691406,object_relative_clause_plural_embedded_who,relative_clause,relative_clause-0209,The driver who the artists see close.,-7.733342851911273
False,benchmark,The scientist opens.,-9.222431818644205,hf_gpt2,-0.4306322733561192,simple_singular,simple_agreement,simple_agreement-0135,The scientist open.,-8.791799545288086
False,benchmark,The student notices.,-8.728869120279947,hf_gpt2,-0.4132849375406895,simple_singular,simple_agreement,simple_agreement-0063,The student notice.,-8.315584182739258
False,benchmark,The manager behind the students opens.,-7.865047454833984,hf_gpt2,-0.3906745910644531,pp_plural_attractor_behind,pp_attractor,pp_attractor-0079,The manager behind the students open.,-7.474372863769531
False,benchmark,The chef behind the reports works.,-7.544283548990886,hf_gpt2,-0.36711883544921875,pp_plural_attractor_behind,pp_attractor,pp_attractor-0103,The chef behind the reports work.,-7.177164713541667
False,benchmark,The judge behind the gardens opens.,-8.405253092447916,hf_gpt2,-0.3518352508544922,pp_plural_attractor_behind,pp_attractor,pp_attractor-0007,The judge behind the gardens open.,-8.053417841593424
False,benchmark,The musician who the brokers help studies.,-8.479847499302455,hf_gpt2,-0.32371684483119445,object_relative_clause_plural_embedded_who,relative_clause,relative_clause-0224,The musician who the brokers help study.,-8.15613065447126
False,benchmark,The pilot that the lawyers question studies.,-8.218680245535714,hf_gpt2,-0.24892425537109286,object_relative_clause_plural_embedded_that,relative_clause,relative_clause-0086,The pilot that the lawyers question study.,-7.969755990164621
False,benchmark,The actor who the visitors follow sleeps.,-8.395835876464844,hf_gpt2,-0.20600237165178648,object_relative_clause_plural_embedded_who,relative_clause,relative_clause-0134,The actor who the visitors follow sleep.,-8.189833504813057
