attractor_count,boundary_score,clause_depth,dependency_distance,diversity_bonus,grammatical_score,hardness_score,model_failed,over_quota_penalty,phenomenon,preference_margin,sentence_bad,sentence_good,subtype,template_type,uid,ungrammatical_score
1,0.9141148158480874,1,5,0.203125,-10.799698965890068,1.6602682931081956,True,0.0,agreement,-0.000858851841519126,The teacher that the neighbors follow speak.,The teacher that the neighbors follow speaks.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00064,-10.798840114048549
1,0.5784214564730874,1,5,0.25,-10.815125601632255,1.5396323067800706,True,0.0,agreement,-0.004215785435269126,The dog that the doctors support move.,The dog that the doctors support moves.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00001,-10.810909816196986
1,0.9783107212612876,1,5,0.046875,-10.813152858189174,1.5360520499093826,True,0.0,agreement,-0.00021689278738712403,The musician that the artists trust study.,The musician that the artists trust studies.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00228,-10.812935965401786
1,0.9144417898994774,1,5,0.0625,-10.802106584821429,1.5198064531598392,True,0.0,agreement,-0.0008555821010052256,The scientist that the neighbors call speak.,The scientist that the neighbors call speaks.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00221,-10.801251002720424
1,0.7923714773994774,1,5,0.078125,-10.812597002301898,1.4745183672223392,True,0.0,agreement,-0.0020762852260052256,The teacher that the artists guide write.,The teacher that the artists guide writes.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00200,-10.810520717075892
1,0.46964808872760244,1,5,0.21875,-10.810043334960938,1.4541043962750737,True,0.0,agreement,-0.005303519112723976,The dancer that the mechanics call listen.,The dancer that the mechanics call listens.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00057,-10.804739815848214
1,0.46986607142864756,1,5,0.171875,-10.811126708984375,1.407338169642895,True,0.0,agreement,-0.005301339285713524,The manager that the lawyers help listen.,The manager that the lawyers help listens.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00086,-10.805825369698661
1,0.9780927385602425,1,5,0.0,-10.812375749860491,1.395318276541561,True,0.09375,agreement,-0.0002190726143975752,The driver that the doctors support study.,The driver that the doctors support studies.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00324,-10.812156677246094
1,0.5777675083706626,1,5,0.03125,-10.808117457798549,1.3205559866769607,True,0.0,agreement,-0.004222324916293374,The musician that the visitors admire move.,The musician that the visitors admire moves.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00236,-10.803895132882255
1,0.6209038628473209,1,5,0.0,-10.827629937065971,1.310831027560813,True,0.0,agreement,-0.003790961371526791,The manager that the librarians like run.,The manager that the librarians like runs.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00264,-10.823838975694445
1,0.7246878487723976,1,5,0.0,-10.816036769321986,1.3001192365374263,True,0.0625,agreement,-0.0027531215122760244,The bird that the editors remember open.,The bird that the editors remember opens.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00303,-10.81328364780971
1,0.866812569754515,1,5,0.0,-10.809798104422432,1.246039472307503,True,0.1875,agreement,-0.0013318743024548496,The manager that the doctors call travel.,The manager that the doctors call travels.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00403,-10.808466230119977
1,0.7246878487722199,1,5,0.0,-10.813309805733818,1.1438692365373377,True,0.21875,agreement,-0.0027531215122778008,The judge that the visitors know open.,The judge that the visitors know opens.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00437,-10.81055668422154
1,0.578857421875,1,5,0.0,-10.809271676199776,1.133599853515625,True,0.15625,agreement,-0.00421142578125,The manager that the brokers follow move.,The manager that the brokers follow moves.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00402,-10.805060250418526
1,0.57122802734375,1,5,0.0,-10.819932120186943,1.0047927856445313,True,0.28125,agreement,-0.0042877197265625,The reporter that the visitors question move.,The reporter that the visitors question moves.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00453,-10.81564440046038
1,0.994332449776735,1,5,0.0,-10.818483625139509,0.9971718924385908,True,0.5,agreement,-5.667550223265039e-05,The boy that the coaches trust notice.,The boy that the coaches trust notices.,object_relative_clause_plural_embedded_that,relative_clause,candidate-00582,-10.818426949637276
1,0.9945504324776024,1,5,0.171875,-10.805774143763951,1.6691556658063236,True,0.0,agreement,-5.449567522397558e-05,The nurse who the visitors see notice.,The nurse who the visitors see notices.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00103,-10.805719648088727
1,0.577767508370485,1,5,0.25,-10.812120710100446,1.539305986676872,True,0.0,agreement,-0.00422232491629515,The author who the mechanics call move.,The author who the mechanics call moves.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00013,-10.807898385184151
1,0.468994140625,1,5,0.234375,-10.812749590192523,1.469403076171875,True,0.0,agreement,-0.00531005859375,The judge who the visitors know listen.,The judge who the visitors know listens.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00052,-10.807439531598773
1,0.725341796875,1,5,0.09375,-10.814379010881696,1.456695556640625,True,0.0,agreement,-0.00274658203125,The boy who the neighbors call open.,The boy who the neighbors call opens.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00202,-10.811632428850446
1,0.5221455891927675,1,5,0.15625,-10.818109300401476,1.417800649007191,True,0.0,agreement,-0.0047785441080723245,The writer who the librarians trust return.,The writer who the librarians trust returns.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00148,-10.813330756293404
1,0.5783124651227425,1,5,0.125,-10.815646580287389,1.4145779200962485,True,0.0,agreement,-0.004216875348772575,The boy who the farmers help move.,The boy who the farmers help moves.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00174,-10.811429704938616
1,0.8671395438057274,1,5,0.0,-10.808213370186943,1.371202632359058,True,0.0625,agreement,-0.0013286045619427256,The driver who the farmers know travel.,The driver who the farmers know travels.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00273,-10.806884765625
1,0.57733154296875,1,5,0.078125,-10.821219308035714,1.3672134399414062,True,0.0,agreement,-0.0042266845703125,The pilot who the coaches follow move.,The pilot who the coaches follow moves.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00211,-10.816992623465401
1,0.5722089494977425,1,5,0.0625,-10.821047101702009,1.3490322657993734,True,0.0,agreement,-0.004277910505022575,The chef who the coaches follow laugh.,The chef who the coaches follow laughs.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00213,-10.816769191196986
1,0.568612234932985,1,5,0.015625,-10.811557224818639,1.3003625052315595,True,0.0,agreement,-0.00431387765067015,The writer who the doctors question move.,The writer who the doctors question moves.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00243,-10.807243347167969
1,0.9779837472098976,1,5,0.0,-10.816595894949776,1.239013889857739,True,0.25,agreement,-0.00022016252790102442,The actor who the visitors follow study.,The actor who the visitors follow studies.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00359,-10.816375732421875
1,0.7234889439175376,1,5,0.0,-10.81600843157087,1.2370209830148513,True,0.125,agreement,-0.002765110560824624,The driver who the doctors question open.,The driver who the doctors question opens.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00298,-10.813243321010045
1,0.49046543666302256,1,5,0.0,-10.815436226981026,1.2144922528948483,True,0.03125,agreement,-0.005095345633369774,The student who the clerks like move.,The student who the clerks like moves.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00252,-10.810340881347656
1,0.797494070870485,1,5,0.0,-10.811505998883929,1.180199541364372,True,0.21875,agreement,-0.0020250592912951504,The student who the farmers question write.,The student who the farmers question writes.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00327,-10.809480939592634
1,0.9944414411270799,1,5,0.0,-10.806840079171318,1.122226279122413,True,0.375,agreement,-5.558558872920116e-05,The student who the editors remember notice.,The student who the editors remember notices.,object_relative_clause_plural_embedded_who,relative_clause,candidate-00383,-10.806784493582589
