category,dataset,distilgpt2_correct,failed_models,gpt2_correct,gpt2_margin,pair_id,sentence_bad,sentence_good,subtype,template_type,tiny_correct,tiny_margin
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_gpt2",False,-0.2172088623046875,pp_attractor-0001,The boy near the keys study.,The boy near the keys studies.,pp_plural_attractor_near,pp_attractor,True,0.0005645751953125
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.322144826253254,pp_attractor-0004,The authors near the cabinet dances.,The authors near the cabinet dance.,pp_singular_attractor_near,pp_attractor,False,-0.003259023030597774
all_models_fail,benchmark,False,"hf_distilgpt2,hf_gpt2,hf_tiny_gpt2",False,-0.3518352508544922,pp_attractor-0007,The judge behind the gardens open.,The judge behind the gardens opens.,pp_plural_attractor_behind,pp_attractor,False,-0.0006663004557285745
all_models_succeed,benchmark,True,,True,0.5436445871988935,pp_attractor-0010,The actors behind the car returns.,The actors behind the car return.,pp_singular_attractor_behind,pp_attractor,True,0.0077184041341151755
all_models_succeed,benchmark,True,,True,0.15185165405273438,pp_attractor-0013,The boy beside the students work.,The boy beside the students works.,pp_plural_attractor_beside,pp_attractor,True,0.006567637125652226
all_models_succeed,benchmark,True,,True,0.5731728871663417,pp_attractor-0016,The robots beside the computer returns.,The robots beside the computer return.,pp_singular_attractor_beside,pp_attractor,True,0.007483164469402226
all_models_fail,benchmark,False,"hf_distilgpt2,hf_gpt2,hf_tiny_gpt2",False,-0.06240908304850201,pp_attractor-0019,The judge with the reports read.,The judge with the reports reads.,pp_plural_attractor_with,pp_attractor,False,-0.002740224202472774
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.30411275227864554,pp_attractor-0022,The pilots with the garden reads.,The pilots with the garden read.,pp_singular_attractor_with,pp_attractor,False,-0.002674102783203125
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_gpt2",False,-0.09813817342122366,pp_attractor-0025,The musician near the reports move.,The musician near the reports moves.,pp_plural_attractor_near,pp_attractor,True,0.00637054443359375
all_models_succeed,benchmark,True,,True,0.2828400929768886,pp_attractor-0028,The writers near the letter answers.,The writers near the letter answer.,pp_singular_attractor_near,pp_attractor,True,0.004302978515625
