clause_depth,correct,dependency_distance,dependency_distance_bucket,failure,grammatical,grammatical_score,model_id,model_name,model_provider,near_failure,pair_id,phenomenon,preference_margin,subtype,template_type,ungrammatical,ungrammatical_score
0,True,4,medium_2_4,False,The boy near the keys studies.,-10.831700642903646,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0001,agreement,0.0005645751953125,pp_plural_attractor_near,pp_attractor,The boy near the keys study.,-10.832265218098959
1,False,5,long_5_plus,True,The guard that the artist follows travels.,-10.814215523856026,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0002,agreement,-0.0013427734375,object_relative_clause_that,relative_clause,The guard that the artist follows travel.,-10.812872750418526
0,True,1,short_1,False,The musician travels.,-10.808484395345053,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0003,agreement,0.0024134318033848245,simple_singular,simple_agreement,The musician travel.,-10.810897827148438
0,False,4,medium_2_4,True,The authors near the cabinet dance.,-10.83115259806315,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0004,agreement,-0.003259023030597774,pp_singular_attractor_near,pp_attractor,The authors near the cabinet dances.,-10.827893575032553
1,True,5,long_5_plus,False,The actor who the broker observes travels.,-10.816135951450892,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0005,agreement,0.0004098074776788252,object_relative_clause_who,relative_clause,The actor who the broker observes travel.,-10.816545758928571
0,False,1,short_1,True,The writers run.,-10.8210080464681,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,False,simple_agreement-0006,agreement,-0.0107129414876308,simple_plural,simple_agreement,The writers runs.,-10.810295104980469
0,False,4,medium_2_4,True,The judge behind the gardens opens.,-10.817598978678385,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0007,agreement,-0.0006663004557285745,pp_plural_attractor_behind,pp_attractor,The judge behind the gardens open.,-10.816932678222656
1,False,5,long_5_plus,True,The nurses that the broker questions arrive.,-10.809102739606585,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0008,agreement,-0.0007771083286840508,plural_object_relative_clause_that,relative_clause,The nurses that the broker questions arrives.,-10.808325631277901
0,True,1,short_1,False,The writer answers.,-10.790644327799479,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,False,simple_agreement-0009,agreement,0.030913035074870976,simple_singular,simple_agreement,The writer answer.,-10.82155736287435
0,True,4,medium_2_4,False,The actors behind the car return.,-10.804817199707031,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0010,agreement,0.0077184041341151755,pp_singular_attractor_behind,pp_attractor,The actors behind the car returns.,-10.812535603841146
1,True,5,long_5_plus,False,The dog that the singers like dances.,-10.817799159458705,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0011,agreement,0.006325857979911476,object_relative_clause_plural_embedded_that,relative_clause,The dog that the singers like dance.,-10.824125017438616
0,False,1,short_1,True,The musicians answer.,-10.8377685546875,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,False,simple_agreement-0012,agreement,-0.014019012451171875,simple_plural,simple_agreement,The musicians answers.,-10.823749542236328
0,True,4,medium_2_4,False,The boy beside the students works.,-10.849020640055338,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0013,agreement,0.006567637125652226,pp_plural_attractor_beside,pp_attractor,The boy beside the students work.,-10.85558827718099
1,True,5,long_5_plus,False,The boy who the librarians support arrives.,-10.824437459309896,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0014,agreement,0.00043487548828125,object_relative_clause_plural_embedded_who,relative_clause,The boy who the librarians support arrive.,-10.824872334798178
0,False,1,short_1,True,The teacher studies.,-10.827073415120443,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0015,agreement,-0.000957489013671875,simple_singular,simple_agreement,The teacher study.,-10.826115926106771
0,True,4,medium_2_4,False,The robots beside the computer return.,-10.83203379313151,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0016,agreement,0.007483164469402226,pp_singular_attractor_beside,pp_attractor,The robots beside the computer returns.,-10.839516957600912
1,False,5,long_5_plus,True,The dog that the broker helps listens.,-10.810770307268415,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0017,agreement,-0.005315508161272575,object_relative_clause_that,relative_clause,The dog that the broker helps listen.,-10.805454799107142
0,False,1,short_1,True,The boys dance.,-10.839369455973307,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0018,agreement,-0.002048492431640625,simple_plural,simple_agreement,The boys dances.,-10.837320963541666
0,False,4,medium_2_4,True,The judge with the reports reads.,-10.833845774332682,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0019,agreement,-0.002740224202472774,pp_plural_attractor_with,pp_attractor,The judge with the reports read.,-10.831105550130209
1,True,5,long_5_plus,False,The teacher who the mechanic likes answers.,-10.804600306919642,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0020,agreement,0.003420148577008675,object_relative_clause_who,relative_clause,The teacher who the mechanic likes answer.,-10.808020455496651
0,False,1,short_1,True,The driver closes.,-10.82061767578125,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0021,agreement,-0.0078035990397129495,simple_singular,simple_agreement,The driver close.,-10.812814076741537
0,False,4,medium_2_4,True,The pilots with the garden read.,-10.846763610839844,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0022,agreement,-0.002674102783203125,pp_singular_attractor_with,pp_attractor,The pilots with the garden reads.,-10.84408950805664
1,False,5,long_5_plus,True,The teachers that the farmer calls smile.,-10.810628618512835,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0023,agreement,-0.0067105974469861,plural_object_relative_clause_that,relative_clause,The teachers that the farmer calls smiles.,-10.803918021065849
0,False,1,short_1,True,The teachers read.,-10.82285181681315,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,False,simple_agreement-0024,agreement,-0.01171875,simple_plural,simple_agreement,The teachers reads.,-10.81113306681315
0,True,4,medium_2_4,False,The musician near the reports moves.,-10.801518758138021,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0025,agreement,0.00637054443359375,pp_plural_attractor_near,pp_attractor,The musician near the reports move.,-10.807889302571615
1,True,5,long_5_plus,False,The pilot that the girls support reads.,-10.800938197544642,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0026,agreement,0.006342206682477425,object_relative_clause_plural_embedded_that,relative_clause,The pilot that the girls support read.,-10.80728040422712
0,True,1,short_1,False,The writer writes.,-10.788182576497396,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,False,simple_agreement-0027,agreement,0.0537109375,simple_singular,simple_agreement,The writer write.,-10.841893513997396
0,True,4,medium_2_4,False,The writers near the letter answer.,-10.79974619547526,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0028,agreement,0.004302978515625,pp_singular_attractor_near,pp_attractor,The writers near the letter answers.,-10.804049173990885
1,False,5,long_5_plus,True,The nurse who the mechanics observe speaks.,-10.80476815359933,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0029,agreement,-0.0008566720145086748,object_relative_clause_plural_embedded_who,relative_clause,The nurse who the mechanics observe speak.,-10.803911481584821
0,True,1,short_1,False,The judges move.,-10.832260131835938,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0030,agreement,0.0015716552734375,simple_plural,simple_agreement,The judges moves.,-10.833831787109375
0,False,4,medium_2_4,True,The judge behind the cabinets travels.,-10.812934875488281,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0031,agreement,-0.00200653076171875,pp_plural_attractor_behind,pp_attractor,The judge behind the cabinets travel.,-10.810928344726562
1,False,5,long_5_plus,True,The boy that the neighbor teaches travels.,-10.809646606445312,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0032,agreement,-0.0013318743024548496,object_relative_clause_that,relative_clause,The boy that the neighbor teaches travel.,-10.808314732142858
0,True,1,short_1,False,The musician answers.,-10.808578491210938,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,False,simple_agreement-0033,agreement,0.0143890380859375,simple_singular,simple_agreement,The musician answer.,-10.822967529296875
0,True,4,medium_2_4,False,The actors behind the report open.,-10.820133209228516,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0034,agreement,0.0007298787434901755,pp_singular_attractor_behind,pp_attractor,The actors behind the report opens.,-10.820863087972006
1,False,5,long_5_plus,True,The teacher who the artist trusts listens.,-10.816830226353236,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0035,agreement,-0.005320957728793374,object_relative_clause_who,relative_clause,The teacher who the artist trusts listen.,-10.811509268624443
0,False,1,short_1,True,The boys run.,-10.839401245117188,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,False,simple_agreement-0036,agreement,-0.011157989501953125,simple_plural,simple_agreement,The boys runs.,-10.828243255615234
0,False,4,medium_2_4,True,The robot beside the cabinets notices.,-10.831685384114584,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0037,agreement,-0.00010426839192767545,pp_plural_attractor_beside,pp_attractor,The robot beside the cabinets notice.,-10.831581115722656
1,False,5,long_5_plus,True,The nurses that the mechanic helps smile.,-10.809836251395089,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0038,agreement,-0.0062833513532361,plural_object_relative_clause_that,relative_clause,The nurses that the mechanic helps smiles.,-10.803552900041852
0,True,1,short_1,False,The student answers.,-10.8119748433431,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,False,simple_agreement-0039,agreement,0.014156341552734375,simple_singular,simple_agreement,The student answer.,-10.826131184895834
0,False,4,medium_2_4,True,The reporters beside the cabinet work.,-10.84728749593099,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0040,agreement,-0.006548563639324101,pp_singular_attractor_beside,pp_attractor,The reporters beside the cabinet works.,-10.840738932291666
1,True,5,long_5_plus,False,The scientist that the clerks teach waits.,-10.803362165178571,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0041,agreement,0.0013177054268975752,object_relative_clause_plural_embedded_that,relative_clause,The scientist that the clerks teach wait.,-10.804679870605469
0,True,1,short_1,False,The actors sleep.,-10.816134134928385,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0042,agreement,0.002857208251953125,simple_plural,simple_agreement,The actors sleeps.,-10.818991343180338
0,False,4,medium_2_4,True,The scientist with the students runs.,-10.851544698079428,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0043,agreement,-0.00569915771484375,pp_plural_attractor_with,pp_attractor,The scientist with the students run.,-10.845845540364584
1,True,5,long_5_plus,False,The boy who the brokers support dances.,-10.812098911830358,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0044,agreement,0.00587899344307985,object_relative_clause_plural_embedded_who,relative_clause,The boy who the brokers support dance.,-10.817977905273438
0,False,1,short_1,True,The chef closes.,-10.818196614583334,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0045,agreement,-0.007825215657552675,simple_singular,simple_agreement,The chef close.,-10.810371398925781
0,True,4,medium_2_4,False,The birds with the computer notice.,-10.841871897379557,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0046,agreement,0.0001093546549491009,pp_singular_attractor_with,pp_attractor,The birds with the computer notices.,-10.841981252034506
1,True,5,long_5_plus,False,The judge that the mechanic likes sleeps.,-10.804082598005023,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0047,agreement,0.0009111676897326504,object_relative_clause_that,relative_clause,The judge that the mechanic likes sleep.,-10.804993765694755
0,False,1,short_1,True,The authors run.,-10.836181640625,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,False,simple_agreement-0048,agreement,-0.01114654541015625,simple_plural,simple_agreement,The authors runs.,-10.825035095214844
0,True,4,medium_2_4,False,The driver near the reports closes.,-10.81024169921875,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0049,agreement,0.001407623291015625,pp_plural_attractor_near,pp_attractor,The driver near the reports close.,-10.811649322509766
1,False,5,long_5_plus,True,The nurse who the clerk sees laughs.,-10.82291739327567,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0050,agreement,-0.00429534912109375,object_relative_clause_who,relative_clause,The nurse who the clerk sees laugh.,-10.818622044154576
0,True,1,short_1,False,The nurse travels.,-10.813276926676432,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0051,agreement,0.002277374267578125,simple_singular,simple_agreement,The nurse travel.,-10.81555430094401
0,False,4,medium_2_4,True,The authors near the student smile.,-10.8257204691569,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0052,agreement,-0.002841949462890625,pp_singular_attractor_near,pp_attractor,The authors near the student smiles.,-10.82287851969401
1,False,5,long_5_plus,True,The pilots that the doctor questions return.,-10.813868931361608,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0053,agreement,-0.0037471226283489756,plural_object_relative_clause_that,relative_clause,The pilots that the doctor questions returns.,-10.810121808733259
0,False,1,short_1,True,The scientists run.,-10.818702697753906,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0054,agreement,-0.008847554524740175,simple_plural,simple_agreement,The scientists runs.,-10.809855143229166
0,False,4,medium_2_4,True,The reporter behind the students arrives.,-10.821388244628906,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0055,agreement,-0.0010159810384120505,pp_plural_attractor_behind,pp_attractor,The reporter behind the students arrive.,-10.820372263590494
1,False,5,long_5_plus,True,The author that the clerks observe writes.,-10.809745788574219,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0056,agreement,-0.0021830967494427256,object_relative_clause_plural_embedded_that,relative_clause,The author that the clerks observe write.,-10.807562691824776
0,True,1,short_1,False,The guard notices.,-10.811199188232422,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0057,agreement,0.00027720133463482455,simple_singular,simple_agreement,The guard notice.,-10.811476389567057
0,False,4,medium_2_4,True,The managers behind the report return.,-10.823554992675781,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0058,agreement,-0.008014678955078125,pp_singular_attractor_behind,pp_attractor,The managers behind the report returns.,-10.815540313720703
1,True,5,long_5_plus,False,The judge who the artists follow answers.,-10.80724116734096,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0059,agreement,0.0033296857561389004,object_relative_clause_plural_embedded_who,relative_clause,The judge who the artists follow answer.,-10.810570853097099
0,False,1,short_1,True,The managers return.,-10.827896118164062,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0060,agreement,-0.008738199869791075,simple_plural,simple_agreement,The managers returns.,-10.819157918294271
0,True,4,medium_2_4,False,The nurse beside the gardens works.,-10.83829116821289,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0061,agreement,0.0059560139973964255,pp_plural_attractor_beside,pp_attractor,The nurse beside the gardens work.,-10.844247182210287
1,True,5,long_5_plus,False,The dog that the doctor supports waits.,-10.803375244140625,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0062,agreement,0.0013144356863836748,object_relative_clause_that,relative_clause,The dog that the doctor supports wait.,-10.804689679827009
0,True,1,short_1,False,The student notices.,-10.811236063639322,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0063,agreement,0.0002772013346366009,simple_singular,simple_agreement,The student notice.,-10.811513264973959
0,False,4,medium_2_4,True,The managers beside the garden wait.,-10.842327117919922,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0064,agreement,-0.00131988525390625,pp_singular_attractor_beside,pp_attractor,The managers beside the garden waits.,-10.841007232666016
1,False,5,long_5_plus,True,The judge who the girl trusts writes.,-10.823948451450892,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0065,agreement,-0.0021514892578125,object_relative_clause_who,relative_clause,The judge who the girl trusts write.,-10.82179696219308
0,False,1,short_1,True,The drivers run.,-10.831649780273438,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,False,simple_agreement-0066,agreement,-0.0111236572265625,simple_plural,simple_agreement,The drivers runs.,-10.820526123046875
0,True,4,medium_2_4,False,The nurse with the paintings laughs.,-10.8297119140625,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,pp_attractor-0067,agreement,0.006961822509765625,pp_plural_attractor_with,pp_attractor,The nurse with the paintings laugh.,-10.836673736572266
1,False,5,long_5_plus,True,The students that the broker knows run.,-10.806712559291295,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,relative_clause-0068,agreement,-0.004467555454800376,plural_object_relative_clause_that,relative_clause,The students that the broker knows runs.,-10.802245003836495
0,False,1,short_1,True,The author speaks.,-10.824689229329428,hf_tiny_gpt2,sshleifer/tiny-gpt2,huggingface,True,simple_agreement-0069,agreement,-0.001491546630859375,simple_singular,simple_agreement,The author speak.,-10.823197682698568
